English,Tibetan,THL Phonetics
to eat,ཟ།,za
to listen,ཉན,nyen
to study,སྦྱོང།,dyong
to write,འབྲི།,dri
to count,རྩི།,tsi
to travel,ཡུལ་སྐོར་འགྲོ།,yülkor dro
to kill,གསད,sä
to cut,གཏུབ།,tup
to work,ལས་ཀ་བྱེད།,leka chä
to make a call,ཁ་པར་གཏོང་/རྒྱག,khapar tong/gya
to accumulate merit,དགེ་བ་གསག,gewa sak
to close,བཙུམ།,tsum
to wash,འཁྲུད།,tru
to make,བཟོ།,zö
to plant ,འདེབས།,deb
to hunt,རྔོན།,ngon
to boil ,སྐོལ།,kol
to buy,ཉོ།,nyo
to pick,འཐུ།,thu
to inhale,རྔུབ།,ngub 
to melt,བཞུར,shur
to build,རྒྱག,gyag
to drink,འཐུང།,thung
to win,རྒྱལ།,gyal
to spend time,སྐྱེལ།,kyel
to read,ཀློག,log
to get ill,ན།,na
cold,ཆམ་པ།,cham pa
to have medicine,སྨན་ཟ།,men za
to have fever,ཚ་བ་འབར།,tsa wa bar
to wash hands,ལག་པ་འཁྲུད།,lag pa trud
to feel pain,ཟུག་རྒྱག,zug gyak
to get well,དྲག,drag
