"ID","Category","Sentence","Tibetan Translation","Context/Usage"
"1","Greetings & Introductions","Hello, my name is [Name].","བཀྲ་ཤིས་བདེ་ལེགས། ངའི་མིང་ལ་[Name]ཡིན།","Introducing yourself for the first time."
"2","Greetings & Introductions","Nice to meet you.","ཁྱེད་རང་མཇལ་ནས་དགའ་པོ་བྱུང་།","A polite response when meeting someone new."
"3","Greetings & Introductions","Good morning.","སྔ་དྲོ་བདེ་ལེགས།","A formal greeting used before 12 PM."
"4","Greetings & Introductions","Good afternoon.","ཉིན་གུང་བདེ་ལེགས།","A formal greeting used between 12 PM and 5 PM."
"5","Greetings & Introductions","Good evening.","དགོང་དྲོ་བདེ་ལེགས།","A formal greeting used after 5 PM."
"6","Greetings & Introductions","How are you?","ཁྱེད་རང་སྐུ་གཟུགས་བདེ་པོ་ཡིན་པས།","Asking about someone's well-being."
"7","Greetings & Introductions","I am fine, thank you.","ང་བདེ་པོ་ཡིན། ཐུགས་རྗེ་ཆེ།","A standard, polite response to 'How are you?'"
"8","Greetings & Introductions","What is your name?","ཁྱེད་རང་གི་མཚན་ལ་ག་རེ་ཞུ་གི་ཡོད།","Asking for someone's identity."
"9","Greetings & Introductions","Where are you from?","ཁྱེད་རང་ལུང་པ་ག་ནས་ཡིན།","Asking about someone's home country or city."
"10","Greetings & Introductions","I am from [Country/City].","ང་[Country/City]ནས་ཡིན།","Stating your origin."
"11","Clarification & Learning","I don't understand.","ངས་ཧ་གོ་མ་སོང་།","Expressing confusion when you miss the meaning."
"12","Clarification & Learning","Could you repeat that, please?","ཡང་སྐྱར་གཅིག་གསུངས་རོགས་གནང་།","Politely asking someone to say something again."
"13","Clarification & Learning","Please speak slowly.","ག་ལེར་ག་ལེར་གསུངས་རོགས་གནང་།","Asking someone to reduce their speaking speed."
"14","Clarification & Learning","What does this mean?","འདིའི་དོན་དག་ག་རེ་རེད།","Asking for the definition of a word or phrase."
"15","Clarification & Learning","How do you spell that?","དེའི་སྡེབ་སྦྱོར་ག་འདྲ་རེད།","Asking for the letters that make up a word."
"16","Clarification & Learning","I am learning English.","ང་དབྱིན་ཇི་སྦྱོང་གི་ཡོད།","Explaining your entry-level language status."
"17","Clarification & Learning","Do you speak English?","ཁྱེད་རང་དབྱིན་སྐད་མཁྱེན་གྱི་ཡོད་པས།","Finding out if the other person can communicate in English."
"18","Politeness & Courtesies","Excuse me.","དགོངས་པ་མ་ཚོམས།","Used to get someone's attention or move past them."
"19","Politeness & Courtesies","I am sorry.","དགོངས་དག","Apologizing for a mistake or inconvenience."
"20","Politeness & Courtesies","Thank you very much.","ཐུགས་རྗེ་ཆེན་པོ།","Expressing deep gratitude."
"21","Politeness & Courtesies","You're welcome.","གང་ཡང་གསུང་དགོས་མ་རེད།","The standard response to 'Thank you'."
"22","Politeness & Courtesies","Yes, please.","ལགས་རེད། ཐུགས་རྗེ་ཆེ།","Politely accepting an offer."
"23","Politeness & Courtesies","No, thank you.","མིན། ཐུགས་རྗེ་ཆེ།","Politely declining an offer."
"24","Politeness & Courtesies","That is okay.","འགྲིག་གི་རེད།","Reassuring someone after they apologize."
