"ID","Category","Phrase/Sentence","Tibetan Translation","Context/Usage"
"1","Greetings & Catching Up","How's it going?","ག་འདྲ་འདུག","A highly common, casual alternative to 'How are you?'"
"2","Greetings & Catching Up","What have you been up to?","ཉེ་ཆར་ག་རེ་བྱས་ནས་བསྡད་ཡོད།","Asking someone what they have been doing recently."
"3","Greetings & Catching Up","Long time no see.","མ་མཇལ་ནས་ཡུན་རིང་ཕྱིན་སོང་།","A friendly greeting when you haven't seen someone in a while."
"4","Greetings & Catching Up","Can't complain.","སྐྱོན་མི་འདུག","A positive, casual response meaning things are generally good."
"5","Greetings & Catching Up","It's great to finally meet you in person.","དངོས་སུ་མཇལ་བ་དེ་དགའ་པོ་བྱུང་།","Used when meeting someone face-to-face after communicating online."
"6","Socializing & Hospitality","Make yourself at home.","རང་གི་ནང་ནང་བཞིན་ལྷོད་ལྷོད་གནང་།","A warm invitation to a guest to relax in your house."
"7","Socializing & Hospitality","Let's grab a bite.","ཁ་ལག་ཏོག་ཙམ་ཟ་བར་འགྲོ་དོ།","A casual invitation to go get something to eat."
"8","Socializing & Hospitality","It's on me.","ངས་སྤྲད་ཀྱི་ཡིན།","Offering to pay for a meal or drinks."
"9","Socializing & Hospitality","Take your time.","ག་ལེར་ག་ལེར་གནང་།","Telling someone there is no rush."
"10","Socializing & Hospitality","I'm on my way.","ང་ལམ་ཁག་ལ་ཡོད།","Letting someone know you are currently traveling to them."
"11","Understanding & Clarifying","I didn't catch that.","ངས་གསལ་པོ་གོ་མ་སོང་།","A natural way to say you didn't hear what was just said."
"12","Understanding & Clarifying","Did I get you right?","ངས་ཧ་གོ་བ་དེ་བདེན་པ་རེད་པས།","Checking to make sure you understood someone correctly."
"13","Understanding & Clarifying","That makes sense.","དེ་ལ་རྒྱུ་མཚན་འདུག","Acknowledging that you understand the logic of what was said."
"14","Understanding & Clarifying","Oh, that explains it.","ཨཱ། ད་གཞི་ནས་ཧ་གོ་སོང་།","Expressing understanding after receiving a missing piece of information."
"15","Understanding & Clarifying","If I understand correctly...","ངས་གོ་སྟངས་མ་ནོར་བ་ཡིན་ན།","Prefacing a summary to ensure you haven't misunderstood."
"16","Expressing Opinions","To be honest...","དྲང་པོ་བཤད་ན།","A filler phrase used before giving a frank or truthful opinion."
"17","Expressing Opinions","If you ask me...","ངའི་བསམ་ཚུལ་ལྟར་ན།","A natural way to introduce your personal opinion."
"18","Expressing Opinions","As far as I know...","ངས་ཤེས་ཚོད་ལ་བྱས་ན།","Stating a fact but leaving room for the possibility you are wrong."
"19","Expressing Opinions","I have no idea.","ངས་གང་ཡང་ཤེས་ཀྱི་མེད།","A more natural and common way to say 'I don't know'."
"20","Expressing Opinions","That's a good question.","དེ་དྲི་བ་ཡག་པོ་ཞིག་རེད།","Often used to buy time while thinking of an answer."
"21","Agreeing & Disagreeing","I couldn't agree more.","ང་མོས་མཐུན་གཙང་མ་ཡོད།","Expressing 100% complete agreement."
"22","Agreeing & Disagreeing","That's so true.","དེ་རང་རེད།","Strongly agreeing with someone's observation."
"23","Agreeing & Disagreeing","I see what you mean.","ཁྱེད་རང་གིས་ག་རེ་གསུང་གི་ཡོད་མེད་ངས་ཧ་གོ་སོང་།","Acknowledging someone's point, even if you don't fully agree."
"24","Agreeing & Disagreeing","Fair enough.","འགྲིག་གི་རེད།","Accepting someone's reasoning as reasonable or valid."
"25","Agreeing & Disagreeing","I'm not so sure about that.","དེ་ལ་ང་ཡིད་ཆེས་ཁག་པོ་འདུག","A polite and soft way to disagree with someone."
"26","Work & Professional","Let's touch base next week.","བདུན་ཕྲག་རྗེས་མར་འབྲེལ་བ་བྱེད་དོ།","A common office phrase for proposing a future quick meeting."
"27","Work & Professional","Keep me in the loop.","གནས་ཚུལ་གསར་པ་ཡོད་ན་ང་ལ་གསུང་རོགས།","Asking someone to keep you updated on a project or situation."
"28","Work & Professional","I'll get back to you on that.","དེའི་སྐོར་ལ་ངས་རྗེས་མ་ལན་རྒྱབ་ཆོག","Promising to provide an answer or information at a later time."
"29","Work & Professional","Could you give me a hand?","ང་ལ་རོགས་པ་ཏོག་ཙམ་གནང་ཐུབ་བམ།","A natural way to ask for assistance with a task."
"30","Work & Professional","We are on the same page.","ང་ཚོའི་བསམ་ཚུལ་གཅིག་པ་རེད།","Confirming that both parties understand and agree on the current status."
"31","Handling Problems","Things happen.","དེ་འདྲ་ཡོང་གི་རེད།","A reassuring phrase meaning mistakes or accidents are part of life."
"32","Handling Problems","It doesn't matter.","ཁྱད་པར་ཡོད་མ་རེད།","Dismissing a minor issue or stating that a choice is unimportant."
"33","Handling Problems","Never mind.","ད་བཞག་ཞོག","Telling someone to forget what you just said or to drop the subject."
"34","Handling Problems","Sorry to bother you.","དཀའ་ངལ་བཟོས་པར་དགོངས་དག","A polite way to interrupt someone who looks busy."
"35","Handling Problems","Please bear with me.","བཟོད་སྒོམ་གནང་རོགས།","Asking for patience while you fix a problem or look for something."
"36","Reactions & Emotions","No doubt about it.","དེ་ལ་ཐེ་ཚོམ་གང་ཡང་མི་འདུག","Expressing absolute certainty."
"37","Reactions & Emotions","You have a point there.","ཁྱེད་རང་གི་སྐད་ཆ་ལ་རྒྱུ་མཚན་འདུག","Conceding that the other person has made a valid argument."
"38","Reactions & Emotions","Fingers crossed.","ལམ་འགྲོ་རྒྱུག་པའི་སྨོན་ལམ་ཡོད།","Expressing hope for good luck or a positive outcome."
"39","Reactions & Emotions","It is what it is.","ད་ག་རང་རེད།","Accepting a situation that cannot be changed."
"40","Reactions & Emotions","I'm looking forward to it.","ང་དེ་ལ་རེ་སྒུག་བྱེད་ཀྱི་ཡོད།","Expressing excitement about a future event."
"41","Encouragement & Comfort","Hang in there.","སེམས་ཤུགས་མ་ཆག","Encouraging someone to keep trying during a difficult time."
"42","Encouragement & Comfort","Don't take it to heart.","སེམས་ལ་མ་བཞག","Telling someone not to be upset by criticism or a bad situation."
"43","Encouragement & Comfort","It's not the end of the world.","དེ་ཙམ་གྱིས་རྫོགས་သွားཔ་མ་རེད།","Reassuring someone that a problem isn't as bad as it seems."
"44","Encouragement & Comfort","Better late than never.","རྩ་བ་ནས་མ་བྱུང་བ་ལས་འགྱངས་ན་ཡང་བྱུང་བ་ཡག་གི་རེད།","Comforting someone who is late, or expressing relief that something finally happened."
"45","Encouragement & Comfort","You've got this.","ཁྱེད་རང་གིས་ཐུབ་ཀྱི་རེད།","A very modern and common way to encourage someone and express belief in them."
"46","Everyday Actions","Let's call it a day.","དེ་རིང་འདི་ནས་མཚམས་འཇོག་བྱེད་དོ།","Deciding to stop working on something for the rest of the day."
"47","Everyday Actions","It's on the tip of my tongue.","ཤེས་ཀྱི་ཡོད་དེ་ཁ་ནས་ཐོན་མ་སོང་།","When you know a word or answer but just can't remember it right now."
"48","Everyday Actions","So far, so good.","ད་ལྟའི་བར་དུ་ཡག་པོ་འདུག","Reporting that everything is progressing well up to the present moment."
"49","Everyday Actions","Sounds like a plan.","འཆར་གཞི་ཡག་པོ་འདུག","Enthusiastically agreeing to a proposed idea or schedule."
"50","Farewells","Take care.","སྐུ་གཟུགས་ལ་གཟབ་གཟབ་གནང་།","A warm, standard farewell used alongside or instead of 'goodbye'."
